E,Name,Code,Cost,R,Skill,Attack,Health,Status
0,Dagger,4t3,0,1,buff=dagger,2,1,nocturnal
0,Dirk,6rj,0,1,buff=dagger,4,1,nocturnal
0,Short Sword,4t4,1,1,,3,2,
0,Long Sword,6rk,1,1,,6,2,
0,Hammer,4t5,2,1,buff=hammer,3,4,
0,Gavel,6rl,2,1,buff=hammer,6,6,
0,Short Bow,4tb,2,1,buff=bow,3,3,ranged
0,Long Bow,6rr,2,1,buff=bow,6,4,ranged
0,Wand,4td,2,1,buff=staff,3,2,psionic
0,Staff,6rt,2,1,buff=staff,5,2,psionic
0,Disc,4se,2,1,buff=disc+1=discping,2,1,ranged
0,Chakram,6qu,2,1,buff=disc+1=discping,4,2,ranged
0,Battle Axe,4sf,3,1,buff=axe+draw=axedraw,1,4,
0,War Axe,6qv,3,1,buff=axe+draw=axedraw,4,2,
1,Discord,4vl,3,3,hit=scramble,4,3,
1,Discord,6u5,3,3,hit=scramble,6,3,
1,Alicorn,504,2,3,2:8=pairproduce,3,6,
1,Alicorn,6uk,2,3,2:8=pairproduce,5,6,
2,Arsenic,52q,2,3,hit=poison 1,2,7,poisonous+nocturnal
2,Arsenic,71a,2,3,hit=poison 1,4,7,poisonous+nocturnal
2,Spite,536,1,3,hit=deadalive,2,0,nocturnal
2,Spite,71m,1,3,hit=deadalive,3,0,nocturnal
3,Titan,55s,5,3,,7,50,momentum
3,Titan,74c,5,3,,8,50,momentum
3,Fluxor,56c,3,3,1=flyself,6,6,
3,Fluxor,74s,3,3,2=flyingweapon,8,4,
4,Pulverizer,58v,4,3,3:3=destroy,5,12,
4,Pulverizer,77f,4,3,2:3=destroy,5,12,
4,Boomstick,59f,3,3,2=golemhit,4,6,
4,Boomstick,77v,3,3,2=golemhit,6,9,
5,Druidic Staff,5c5,2,3,regenerate,2,7,
5,Druidic Staff,7al,2,3,regenerate,4,7,
5,Scorpion Claws,5cj,4,3,,1,3,adrenaline=1+nothrottle
5,Scorpion Claws,7b3,4,3,,2,3,adrenaline=1+nothrottle
6,Fahrenheit,5f7,3,3,buff=fiery,4,5,
6,Fahrenheit,7dn,3,3,buff=fiery,5,5,
6,Firebrand,5fl,2,3,losecharge+prespell=firebrand,8,9,charges=2
6,Firebrand,7e5,3,3,losecharge+prespell=firebrand,12,9,charges=1
7,Trident,5ic,3,3,3:4=earthquake,4,9,aquatic
7,Trident,7gs,3,3,2:4=earthquake,4,9,aquatic
7,Oceanus,5ir,3,3,hit=regen,3,3,aquatic
7,Oceanus,7hb,3,3,hit=regen,5,3,aquatic
8,Morning Star,5lh,5,3,,7,7,immaterial
8,Morning Star,7k1,5,3,,8,4,immaterial
8,Prismatic Gladius,5lu,1,3,1:7=growth 2+ownfreeze=growth 1,3,5,
8,Prismatic Gladius,7ke,1,3,1:7=growth 2+ownfreeze=growth 1,5,5,
9,Owl's Eye,5ol,5,3,2=snipe,5,7,ranged
9,Owl's Eye,7n5,5,3,2=snipe,7,7,ranged
9,Stormspike,5p4,4,3,2:11=foedraw,4,5,
9,Stormspike,7nk,4,3,2:11=foedraw,7,5,
10,Eternity,5ro,6,3,3=rewind,4,8,
10,Eternity,7q8,5,3,3=rewind,4,8,
10,Epoch,5s9,3,3,cardplay=epoch+turnstart=epochreset+1:5=epochreset,5,12,epoch=0
10,Epoch,7qp,3,3,cardplay=epoch+turnstart=epochreset+1:5=epochreset,7,24,epoch=0
11,Vampiric Stiletto,5ur,2,3,hit=vampire,4,4,nocturnal
11,Vampiric Dagger,7tb,3,3,hit=vampire,6,4,nocturnal
11,Shank of Void,5ve,3,3,hit=reducemaxhp,5,3,nocturnal
11,Shank of Void,7tu,2,3,hit=reducemaxhp,5,3,nocturnal
12,Lobotomizer,61u,3,3,2=lobotomize,5,4,
12,Lobotomizer,80e,3,3,1=lobotomize,5,4,
12,Psyche Metal,62f,2,3,1=forceplay,4,2,
12,Psyche Metal,80v,2,3,1=forceplay,6,2,
